training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.5909324,7.5909324,0.05985605,1.0,0.50624985,5.422193,-5.8746605,0.019628545,0.071599364,0.98884284,0.12204576,0.020849003,0.08712375,-0.07946921,1.7887715,-7.6829567,7.6829567,0.08286229,1.0,0.4558293,5.1119633,-7.372188,0.012179264,0.08100435,0.9866188,0.12230572,0.013402321,0.003709570407867432,744.8221559524536,190000
-7.559763,7.559763,0.052063666,1.0,0.47148943,5.422193,-5.8746605,0.015378207,0.07082096,0.98818076,0.10472865,0.016425494,0.05517878,-0.06356991,1.4893909,-7.667404,7.667404,0.078974016,1.0,0.5774109,5.326017,-8.458182,0.01823359,0.06485763,0.98875225,0.10405311,0.019274121,0.003674549198150635,763.1949071884155,195000
-7.584035,7.584035,0.058131598,1.0,0.45484388,4.511182,-5.8746605,0.0143652465,0.06734851,0.9878972,0.09064314,0.015271678,0.06860567,-0.06686859,1.629914,-7.67573,7.67573,0.08105558,1.0,0.44664025,5.326017,-8.458182,0.014371236,0.068457216,0.9866485,0.09047439,0.015275979,0.0036692917346954346,781.54137134552,200000
-7.5683494,7.5683494,0.05421032,1.0,0.51899076,5.422193,-5.8746605,0.016786346,0.067288645,0.98814285,0.079889074,0.017585237,0.048640076,-0.06473799,1.5529146,-7.6680875,7.6680875,0.07914485,1.0,0.45202678,5.4474616,-8.458182,0.008120012,0.055311512,0.98721874,0.08016567,0.008921668,0.003658926630020142,799.8360104560852,205000
-7.579813,7.579813,0.057076216,1.0,0.43231225,5.422193,-5.8746605,0.015649553,0.070820384,0.9872613,0.06854591,0.016335012,0.09183407,-0.06285459,1.5803595,-7.6958447,7.6958447,0.08608413,1.0,0.41009712,5.326017,-8.458182,0.010979533,0.07422458,0.98663294,0.06797226,0.011659256,0.003670601224899292,818.189022064209,210000
-7.5748167,7.5748167,0.0558271,1.0,0.47617313,5.422193,-5.8746605,0.017697789,0.080984384,0.986286,0.062370244,0.018321492,0.061889194,-0.06156389,1.4321837,-7.677559,7.677559,0.08151266,1.0,0.45430127,5.326017,-6.9476013,0.014192784,0.06568324,0.9880004,0.06320177,0.014824802,0.0036503392696380617,836.4407241344452,215000
-7.5683994,7.5683994,0.0542229,1.0,0.44374132,5.0493126,-5.8746605,0.012047965,0.07770124,0.9888959,0.060907155,0.012657037,0.051237162,-0.0711552,1.5522898,-7.7249346,7.7249346,0.093356505,1.0,0.4398193,5.326017,-8.458182,0.012317263,0.08070938,0.98880076,0.060435615,0.012921618,0.0036869195938110354,854.8753273487091,220000
-7.5606785,7.5606785,0.052292656,1.0,0.4467317,5.422193,-5.8746605,0.01749084,0.06939827,0.9876939,0.05379682,0.018028807,0.07047463,-0.051442493,1.4670522,-7.7506266,7.7506266,0.09977958,1.0,0.4644077,5.326017,-6.2787805,0.022933047,0.06254864,0.98773456,0.054125175,0.023474298,0.0037502781867980958,873.6267235279083,225000
-7.5558715,7.5558715,0.051090825,1.0,0.4675899,5.422193,-5.8746605,0.0157068,0.07032668,0.9885509,0.056324653,0.016270047,0.051789045,-0.08123739,1.6500157,-7.713759,7.713759,0.09056273,1.0,0.49039,5.326017,-8.458182,0.0120650185,0.074798316,0.98832405,0.05583625,0.012623381,0.003696578788757324,892.1096231937408,230000
-7.581623,7.581623,0.05752869,1.0,0.47615588,4.199948,-4.3487253,0.015477516,0.06092778,0.988251,0.054861464,0.01602613,0.10020948,-0.060163558,1.633241,-7.714267,7.714267,0.09068972,1.0,0.49958476,5.326017,-8.458182,0.016921198,0.06961948,0.987751,0.055080675,0.017472005,0.0036567925453186035,910.3935914039612,235000
-7.568556,7.568556,0.05426182,1.0,0.4356061,4.236112,-4.9177494,0.009699065,0.049588323,0.9885263,0.04625374,0.010161603,0.052125927,-0.06593615,1.5375952,-7.715228,7.715228,0.090929896,1.0,0.4083371,5.326017,-8.458182,0.012957647,0.068954274,0.9884417,0.045864645,0.013416294,0.0036944294929504395,928.8657448291779,240000
-7.565378,7.565378,0.053467393,1.0,0.5012468,5.422193,-5.8746605,0.011409807,0.07084172,0.9870391,0.049642764,0.011906235,0.07480029,-0.04011783,1.5365986,-7.746069,7.746069,0.09864025,1.0,0.4740063,4.1875453,-4.379696,0.015334155,0.08267882,0.98834705,0.05035843,0.01583774,0.0036962241649627684,947.346871137619,245000
-7.560322,7.560322,0.052203417,1.0,0.4813363,4.0883613,-4.282185,0.016837314,0.072381124,0.9875375,0.040561564,0.017242929,0.053752925,-0.043872178,1.4214277,-7.704016,7.704016,0.08812698,1.0,0.4283916,4.7935443,-4.13998,0.0077553,0.06917106,0.9874502,0.04135131,0.008168813,0.0036852617740631105,965.7731857299805,250000
