training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.5754313,7.5754313,0.055980805,1.0,0.6844038,3.4347837,-3.4585733,0.0210695,0.1053341,0.9874239,1.5708802,0.0367783,0.061016917,-0.06278446,1.9190888,-7.6424365,7.6424365,0.07273203,1.0,0.68644893,4.1421804,-3.657556,0.022723231,0.116710275,0.9895009,1.5700321,0.038423553,0.003654054880142212,682.9882805347443,180000
-7.56925,7.56925,0.054435506,1.0,0.7527897,3.22986,-4.014017,0.0241463,0.108603634,0.98845756,2.4464293,0.04861059,0.05764494,-0.07183227,1.9539163,-7.6367197,7.6367197,0.07130292,1.0,0.6992535,3.3873618,-4.7095914,0.018839668,0.11094384,0.9871055,2.4544873,0.04338454,0.003654795217514038,701.2622621059418,185000
-7.5910053,7.5910053,0.05987432,1.0,0.51950586,4.511182,-5.1162996,0.020099303,0.07450475,0.98884284,0.15193886,0.02161869,0.08712106,-0.07905022,1.8974273,-7.6831875,7.6831875,0.08291982,1.0,0.4912117,4.8407273,-4.6150155,0.0145516945,0.07963376,0.9866188,0.15068293,0.016058523,0.0036831036090850832,719.6777861118317,190000
-7.5597534,7.5597534,0.052061368,1.0,0.5189827,4.331429,-4.3487253,0.015790813,0.062226485,0.98818076,1.3412884,0.029203698,0.055550173,-0.06410674,1.6612339,-7.66751,7.66751,0.07900051,1.0,0.60204417,3.6409445,-4.372861,0.018472798,0.06522429,0.98875225,1.337579,0.031848587,0.0036427732944488526,737.8916578292847,195000
-7.5838656,7.5838656,0.058089435,1.0,0.5214786,4.2980065,-4.301981,0.012279536,0.06507722,0.9878972,1.2461582,0.024741117,0.06891455,-0.06666345,1.7766261,-7.675448,7.675448,0.080985025,1.0,0.5356599,4.4638424,-4.276766,0.015631856,0.06588967,0.9866485,1.2464606,0.028096462,0.0036576826095581056,756.1800761222839,200000
-7.568239,7.568239,0.054182835,1.0,0.55241895,4.907886,-4.282185,0.019653067,0.077412456,0.98814285,0.09446815,0.020597748,0.04846297,-0.064766295,1.5865207,-7.667883,7.667883,0.07909366,1.0,0.5169309,4.489993,-4.527675,0.013027478,0.06791006,0.98721874,0.09413722,0.0139688505,0.003629895305633545,774.3295583724976,205000
-7.5797973,7.5797973,0.0570723,1.0,0.49347675,4.19229,-4.24264,0.015013792,0.05318254,0.9872613,0.4121669,0.01913546,0.09191001,-0.06278874,1.6676667,-7.6957636,7.6957636,0.086063884,1.0,0.48154563,4.316902,-4.3701715,0.013572793,0.050392862,0.98663294,0.40825087,0.017655302,0.003639780378341675,792.5284655094147,210000
-7.5745864,7.5745864,0.055769563,1.0,0.5533743,3.7948737,-4.8825374,0.018937334,0.07311109,0.986286,0.66000223,0.025537357,0.061771173,-0.061622534,1.5817943,-7.67764,7.67764,0.08153288,1.0,0.5282936,4.284367,-4.4827204,0.010569257,0.054586902,0.9880004,0.65730965,0.017142354,0.0036469074726104738,810.7630083560944,215000
-7.5684433,7.5684433,0.054233827,1.0,0.5662503,4.1451035,-4.3487253,0.012243798,0.067945905,0.9888959,0.8649671,0.02089347,0.0507283,-0.07115977,1.8610773,-7.725193,7.725193,0.09342122,1.0,0.56252444,3.307866,-4.508084,0.011214113,0.07500197,0.98880076,0.86733323,0.019887444,0.003521827554702759,828.3721520900726,220000
-7.56042,7.56042,0.05222798,1.0,0.53135324,3.8938425,-4.3487253,0.015594112,0.058012992,0.9876939,0.50075305,0.020601641,0.070992276,-0.050850004,1.5846372,-7.750544,7.750544,0.09975892,1.0,0.5544305,4.8407273,-4.7095914,0.018520895,0.0540999,0.98773456,0.5004021,0.023524916,0.0036712117671966553,846.7282164096832,225000
-7.555476,7.555476,0.050991952,1.0,0.5016023,4.511182,-4.3487253,0.013617035,0.069964886,0.9885509,0.10095225,0.014626557,0.051592864,-0.08128374,1.6492656,-7.71374,7.71374,0.09055781,1.0,0.55157554,3.9081452,-4.3977966,0.014679406,0.07144297,0.98832405,0.1010993,0.0156904,0.0036458642482757567,864.9575436115265,230000
-7.5819635,7.5819635,0.05761389,1.0,0.529298,4.1902523,-4.3487253,0.016564189,0.06917158,0.988251,0.087318845,0.017437376,0.10074631,-0.05984805,1.7067821,-7.7140985,7.7140985,0.09064758,1.0,0.5684329,4.349448,-4.6226697,0.016220734,0.06575293,0.987751,0.08735768,0.01709431,0.003640418004989624,883.1596391201019,235000
-7.568277,7.568277,0.05419222,1.0,0.53173697,4.345402,-4.2993245,0.0122364,0.053042643,0.9885263,0.10497628,0.013286162,0.05257169,-0.06653108,1.5865277,-7.7147417,7.7147417,0.09080839,1.0,0.48872173,4.4380383,-4.2451096,0.013938866,0.060801126,0.9884417,0.10548329,0.014993698,0.0036786624908447265,901.5529577732086,240000
-7.5655746,7.5655746,0.053516615,1.0,0.5882296,4.511182,-5.1987777,0.012900099,0.062046997,0.9870391,0.39243212,0.01682442,0.075019866,-0.03988398,1.6816903,-7.746213,7.746213,0.098676175,1.0,0.56575143,3.851756,-4.3206015,0.013241521,0.07130486,0.98834705,0.38914287,0.01713295,0.003717534589767456,920.1406366825104,245000
-7.5603924,7.5603924,0.052221067,1.0,0.59952164,3.6491103,-4.282185,0.0140577005,0.042961966,0.9875375,0.24044824,0.016462183,0.05223036,-0.043991536,1.5070919,-7.704073,7.704073,0.088141166,1.0,0.5647181,4.718521,-4.436692,0.009506363,0.052964807,0.9874502,0.24097356,0.011916099,0.0036639341354370116,938.4603128433228,250000
-7.5751276,7.5751276,0.055904917,1.0,0.54945767,4.4928565,-4.282185,0.018198434,0.07430313,0.9882266,0.08604839,0.019058919,0.053433716,-0.06103005,1.8830839,-7.682426,7.682426,0.0827295,1.0,0.5078629,4.8407273,-4.7095914,0.012465681,0.073346436,0.98914254,0.08610925,0.013326773,0.003687828731536865,956.8994617462158,255000
